date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:29	20896/20896	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2030%20Jun%202021%2015:40:30%20GMT	https://muute.umso.co/	C:/Users/thiba/Documents/GitHub/muute-art.github.io/index-2.html	(from )
17:40:29	32/32	---M--	200	added ('OK')	text/plain	date:Wed,%2030%20Jun%202021%2015:40:30%20GMT	https://muute.umso.co/robots.txt		(from )
17:40:30	18176/18176	U--MC-	200	updated ('OK')	text/html	date:Wed,%2030%20Jun%202021%2015:40:31%20GMT	https://muute.umso.co/0/privacy	C:/Users/thiba/Documents/GitHub/muute-art.github.io/0/privacy.html	(from https://muute.umso.co/)
17:40:32	54884/54884	U--MCZ	200	updated ('OK')	text/css	date:Wed,%2030%20Jun%202021%2015:40:31%20GMT	https://muute.umso.co/css/6xp97xe9t4n7-71563204cddc40ccd588192d7b42d7fc58444d20.css	C:/Users/thiba/Documents/GitHub/muute-art.github.io/css/6xp97xe9t4n7-71563204cddc40ccd588192d7b42d7fc58444d20.css	(from https://muute.umso.co/)
17:40:48	253976/253976	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jun%202021%2019:19:49%20GMT	https://muute.umso.co/lib_rlsEWlduUxcLbAvJ/powymr13amn4oqq1.png	C:/Users/thiba/Documents/GitHub/muute-art.github.io/lib_rlsEWlduUxcLbAvJ/powymr13amn4oqq1.png	(from https://muute.umso.co/)
17:40:49	7199/7199	U-----	200	untouched ('')	image/png	date:Tue,%2029%20Jun%202021%2019:48:43%20GMT	https://muute.umso.co/lib_rlsEWlduUxcLbAvJ/7dgi0zm3aopf3fqp.png?w=160	C:/Users/thiba/Documents/GitHub/muute-art.github.io/lib_rlsEWlduUxcLbAvJ/7dgi0zm3aopf3fqpb6bf.png	(from https://muute.umso.co/)
17:40:49	100094/100094	U-----	200	untouched ('')	image/png	date:Mon,%2028%20Jun%202021%2016:41:55%20GMT	https://muute.umso.co/lib_rlsEWlduUxcLbAvJ/r94g4czpz5c1ucch.png?w=300&h=200&fit=crop	C:/Users/thiba/Documents/GitHub/muute-art.github.io/lib_rlsEWlduUxcLbAvJ/r94g4czpz5c1ucche06c.png	(from https://muute.umso.co/)
17:40:49	6894/6894	U-----	200	untouched ('')	image/jpeg	date:Mon,%2028%20Jun%202021%2016:41:54%20GMT	https://muute.umso.co/lib_rlsEWlduUxcLbAvJ/ywfwz4m5cellmqc3.jpg?w=300&h=200&fit=crop	C:/Users/thiba/Documents/GitHub/muute-art.github.io/lib_rlsEWlduUxcLbAvJ/ywfwz4m5cellmqc3e06c.jpg	(from https://muute.umso.co/)
17:40:49	7803/7803	U-----	200	untouched ('')	application/javascript	etag:W/%2260c8ba56-1e7b%22	https://client.crisp.chat/l.js	C:/Users/thiba/Documents/GitHub/muute-art.github.io/l.js	(from https://muute.umso.co/)
17:40:49	18176/18176	U--MC-	200	updated ('OK')	text/html	date:Wed,%2030%20Jun%202021%2015:40:50%20GMT	https://muute.umso.co/0/privacy	C:/Users/thiba/Documents/GitHub/muute-art.github.io/0/privacy.html	(from https://muute.umso.co/)
